,Total deaths,Total injured,Total affected,Total homeless,Total people,Reconstruction costs,Insured damages,Total economic damages,Death rates,Injury rates,"Number of affected people per 100,000", Homelessness rate,"Total affected people per 100,000",Total economic damages as a share of GDP,Entity,Year
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan,1960
1,6.1,1.5,9000.0,0.0,9001.5,0.0,0.0,0.0,0.04796007,0.012721567,69.53565634,0.0,69.54837791,0.0,Afghanistan,1970
2,51.3,351.8,6244.0,658.0,7253.8,0.0,0.0,900.0,0.398498668,2.742558185,49.05305337,5.24804594,57.04365749,0.0,Afghanistan,1980
3,742.6,358.3,27168.5,7702.5,35229.3,0.0,0.0,2001.0,3.814559032,1.835905817,146.6656852,38.70140997,187.203001,0.0,Afghanistan,1990
4,123.6,151.2,9074.0,1569.5,10794.7,0.0,0.0,5.0,0.544497296,0.66248279,40.07487217,6.585321045,47.322676,8.05e-05,Afghanistan,2000
5,21.7,5830.5,339.0,3627.5,9797.0,0.0,0.0,0.0,0.066190219,16.94865916,1.050511311,10.59994752,28.59911799,0.0,Afghanistan,2010
6,1257.7,2703.1,4650.0,1940.5,9293.6,0.0,0.0,15302.0,0.44206693,0.944881312,1.44368813,0.615953911,3.004523354,0.044271497,Africa,1960
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Africa,1970
8,297.0,1015.3,51609.3,49320.0,101944.6,0.0,0.0,523000.0,0.061644162,0.209079736,10.72291036,10.11760402,21.04959412,0.149832672,Africa,1980
9,79.9,1059.0,13045.0,4027.0,18131.0,0.0,0.0,133092.9,0.01180623,0.158566864,1.922654285,0.569793642,2.651014791,0.026343433,Africa,1990
10,333.5,1303.6,13461.0,23910.4,38675.0,0.0,1000.0,565700.0,0.037906203,0.147837837,1.487942013,2.703844838,4.339624689,0.071912522,Africa,2000
11,3.1,89.2,15142.1,69.0,15300.3,0.0,0.0,45800.0,0.000259232,0.007542795,1.253537534,0.005709536,1.266789865,0.002084165,Africa,2010
12,2.6,28.8,0.0,0.0,28.8,0.0,0.0,2000.0,0.141333613,1.556411117,0.0,0.0,1.556411117,0.0,Albania,1960
13,3.5,35.0,0.0,0.0,35.0,0.0,0.0,0.0,0.133181126,1.331811263,0.0,0.0,1.331811263,0.0,Albania,1970
14,0.1,0.5,69.0,500.0,569.5,0.0,0.0,500.0,0.003584229,0.017921147,2.155576382,17.92114695,20.09464448,0.0,Albania,1980
15,0.0,0.0,210.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,6.75024108,0.0,6.75024108,0.0,Albania,1990
16,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504540868,0.504540868,0.0,Albania,2000
17,5.1,102.5,20680.0,0.0,20782.5,0.0,0.0,74500.0,0.177021867,3.557792433,717.8063173,0.0,721.3641097,0.487354537,Albania,2010
18,6.9,36.5,3700.0,1345.0,5081.5,0.0,0.0,200.0,0.060672847,0.290161677,29.47972273,10.84205362,40.61193803,0.006377025,Algeria,1960
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Algeria,1970
20,268.6,861.7,49409.3,44320.0,94591.0,0.0,0.0,520200.0,1.392341847,4.453418569,255.2691876,230.5469151,490.2695213,1.228290406,Algeria,1980
21,19.3,46.4,1475.0,1500.0,3021.4,0.0,0.0,6092.9,0.067792351,0.159578006,5.262894643,4.898279071,10.32075172,0.012526353,Algeria,1990
22,227.9,1078.5,16.0,20015.0,21109.5,0.0,0.0,500000.0,0.706309283,3.341342569,0.047561012,62.03318255,65.42208613,0.736769376,Algeria,2000
23,0.6,42.0,0.0,0.0,42.0,0.0,0.0,0.0,0.001541465,0.107902579,0.0,0.0,0.107902579,0.0,Algeria,2010
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,American Samoa,1960
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,American Samoa,1970
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,American Samoa,1980
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,American Samoa,1990
28,3.4,0.0,250.0,0.0,250.0,0.0,0.0,0.0,5.964912281,0.0,438.5964912,0.0,438.5964912,0.0,American Samoa,2000
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Angola,1980
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Angola,1990
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Angola,2000
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Angola,2010
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anguilla,1960
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anguilla,1970
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anguilla,1980
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anguilla,1990
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anguilla,2000
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anguilla,2010
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Antigua and Barbuda,1960
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Antigua and Barbuda,1970
