,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,year,month
0,6.5,2023-08-16 12:47:00,7,4,green,0,657,us,114,7.177,25.0,mww,192.955,-13.8814,167.158,2023,8
1,6.5,2023-07-19 00:22:00,8,6,yellow,0,775,us,92,0.679,40.0,mww,69.727,12.814,-88.1265,2023,7
2,6.6,2023-07-17 03:05:00,7,5,green,0,899,us,70,1.634,28.0,mww,171.371,-38.1911,-70.3731,2023,7
3,7.2,2023-07-16 06:48:00,6,6,green,1,860,us,173,0.907,36.0,mww,32.571,54.3844,-160.699,2023,7
4,7.3,2023-07-16 06:48:00,0,5,unknown,1,820,at,79,0.879451,172.8,Mi,21.0,54.49,-160.796,2023,7
5,6.6,2023-07-10 20:28:00,5,4,green,1,802,us,95,2.454,37.0,mww,10.0,20.0196,-61.0955,2023,7
6,6.9,2023-07-02 10:27:00,4,4,green,1,741,us,136,1.179,23.0,mww,229.0,-17.853,-174.937,2023,7
7,7.2,2023-06-15 18:06:00,8,6,green,1,804,us,85,2.59,24.0,mww,167.404,-22.9824,-177.208,2023,6
8,6.6,2023-05-25 03:05:00,6,6,green,1,733,us,50,2.163,129.0,mww,10.0,8.8894,-77.1231,2023,5
9,7.1,2023-05-20 01:51:00,3,4,green,1,777,us,98,2.812,56.0,mww,35.981,-23.0622,170.456,2023,5
10,7.7,2023-05-19 02:57:00,5,4,green,1,927,us,277,3.111,15.0,mww,18.027,-23.2286,170.694,2023,5
11,7.6,2023-05-10 16:02:00,8,6,green,1,907,us,111,3.631,17.0,mww,210.097,-15.6002,-174.608,2023,5
12,6.6,2023-04-28 03:13:00,0,2,green,0,670,us,52,5.123,50.0,mww,598.467,-25.2657,178.424,2023,4
13,7.1,2023-04-24 20:00:00,9,7,green,0,838,us,70,2.282,58.0,mww,15.462,-0.781,98.5339,2023,4
14,7.1,2023-04-24 00:41:00,8,7,green,1,777,us,126,0.708,23.0,mww,43.063,-30.0249,-177.897,2023,4
15,6.7,2023-04-18 04:31:00,0,3,green,1,691,us,166,4.719,10.0,mww,595.854,-22.2844,179.391,2023,4
16,7.0,2023-04-14 09:55:00,5,3,green,0,818,us,131,1.881,31.0,mww,594.028,-6.0255,112.033,2023,4
17,6.5,2023-04-03 03:06:00,7,6,yellow,1,655,us,104,0.266,30.0,mww,105.631,52.7772,158.484,2023,4
18,7.0,2023-04-02 18:04:00,7,7,green,1,781,us,105,6.45,31.0,mww,62.603,-4.2924,143.155,2023,4
19,6.5,2023-03-22 16:00:00,4,4,green,0,656,us,97,1.622,33.0,mww,209.976,-23.4797,-66.5108,2023,3
20,6.5,2023-03-21 16:47:00,7,5,green,0,1350,us,134,2.53,13.0,mww,187.589,36.5227,70.9787,2023,3
21,6.8,2023-03-18 17:12:00,9,7,orange,1,1159,us,152,0.709,28.0,mww,65.842,-2.851,-79.8001,2023,3
22,7.0,2023-03-16 00:56:00,8,5,green,1,756,us,116,1.789,22.0,mww,22.065,-30.1147,-176.112,2023,3
23,6.9,2023-03-04 06:41:00,5,5,green,1,735,us,108,0.784,18.0,mww,205.681,-29.4748,-178.787,2023,3
24,6.5,2023-03-02 18:04:00,7,6,green,1,653,us,66,5.483,45.0,mww,10.0,-15.3597,166.385,2023,3
25,6.5,2023-03-01 05:36:00,4,2,green,1,652,us,115,2.739,20.0,mww,598.925,-4.8138,149.487,2023,3
26,6.8,2023-02-23 00:37:00,9,7,green,0,737,us,128,1.783,20.0,mww,20.522,38.0726,73.2077,2023,2
27,7.5,2023-02-06 10:24:00,9,9,orange,0,1411,us,135,0.85,17.0,mww,10.0,38.0235,37.203,2023,2
28,6.7,2023-02-06 01:28:00,9,8,yellow,0,800,us,108,0.218,44.0,mww,14.497,37.4135,36.8306,2023,2
29,7.8,2023-02-06 01:17:00,9,9,red,0,2910,us,118,1.919,32.0,mww,17.925,37.2012,36.9997,2023,2
30,6.8,2023-01-20 22:09:00,4,3,green,0,718,us,60,5.129,61.0,mww,610.671,-26.7209,-63.0394,2023,1
31,7.0,2023-01-18 06:06:00,3,5,green,1,756,us,130,1.974,17.0,mwc,28.566,2.7401,127.051,2023,1
32,7.6,2023-01-09 17:47:00,5,7,green,0,957,us,114,1.575,21.0,mww,105.249,-7.0852,130.039,2023,1
33,7.0,2023-01-08 12:32:00,8,7,green,1,768,us,116,6.096,36.0,mww,29.0,-14.9383,166.878,2023,1
34,6.8,2022-12-04 19:24:00,5,5,green,1,720,us,152,2.587,26.0,mww,38.0,-15.3983,-172.968,2022,12
35,7.0,2022-11-22 02:03:00,8,7,green,1,768,us,117,0.509,17.0,mww,14.0,-9.7963,159.596,2022,11
36,6.9,2022-11-18 13:37:00,4,4,green,0,735,us,99,2.229,34.0,mww,25.0,-4.9559,100.738,2022,11
37,7.0,2022-11-12 07:09:00,3,3,green,1,755,us,147,3.125,18.0,mww,579.0,-20.0508,-178.346,2022,11
38,7.3,2022-11-11 10:48:00,5,5,green,1,833,us,149,1.865,21.0,mww,37.0,-19.2918,-172.129,2022,11
39,6.6,2022-11-09 10:14:00,0,2,green,1,670,us,131,4.998,27.0,mww,624.464,-25.5948,178.278,2022,11
40,7.0,2022-11-09 09:51:00,4,3,green,1,755,us,142,4.578,26.0,mwb,660.0,-26.0442,178.381,2022,11
41,6.8,2022-11-09 09:38:00,1,3,green,1,711,us,136,4.678,22.0,mww,630.379,-25.9678,178.363,2022,11
42,6.7,2022-10-20 11:57:00,7,6,green,1,797,us,145,1.151,37.0,mww,20.0,7.6712,-82.3396,2022,10
43,6.8,2022-09-22 06:16:00,8,7,yellow,1,1179,us,175,2.137,92.0,mww,20.0,18.33,-102.913,2022,9
44,7.6,2022-09-19 18:05:00,9,8,yellow,1,1799,us,271,1.153,69.0,mww,26.943,18.3667,-103.252,2022,9
45,6.9,2022-09-18 06:44:00,9,9,yellow,1,887,us,215,0.401,34.0,mww,10.0,23.1444,121.307,2022,9
46,6.5,2022-09-17 13:41:00,7,7,green,1,756,us,178,0.43,54.0,mww,10.0,23.029,121.348,2022,9
47,7.0,2022-09-14 11:04:00,7,5,green,1,761,us,192,2.977,45.0,mww,137.0,-21.2077,170.239,2022,9
48,7.6,2022-09-10 23:47:00,8,8,yellow,1,965,us,272,3.158,12.0,mww,116.0,-6.2237,146.471,2022,9
49,6.6,2022-09-05 04:52:00,9,8,orange,0,1043,us,141,8.454,34.0,mww,12.0,29.7263,102.279,2022,9
50,6.6,2022-08-14 13:44:00,7,6,green,1,672,us,68,5.293,34.0,mww,30.0,-32.6922,-178.959,2022,8
51,7.0,2022-07-27 00:43:00,9,8,yellow,1,1351,us,152,5.276,22.0,mww,33.729,17.5978,120.809,2022,7
52,6.5,2022-06-08 00:55:00,3,2,green,0,653,us,236,1.999,31.0,mww,622.73,-9.0618,-71.1647,2022,6
53,7.2,2022-05-26 12:02:00,7,5,green,1,876,us,144,2.494,40.0,mww,236.0,-14.8628,-70.3081,2022,5
54,6.9,2022-05-19 10:13:00,2,5,green,1,733,us,127,0.371,45.0,mww,10.0,-54.1325,159.027,2022,5
55,6.8,2022-05-10 23:06:00,6,5,green,1,762,us,162,1.505,30.0,mww,220.0,-23.6141,-66.7236,2022,5
56,6.6,2022-04-21 07:42:00,6,5,green,1,762,us,0,0.914,94.0,mww,27.0,11.5538,-86.9919,2022,4
